,Total DUC,Total US RigCount,U.S. Product Supplied of Crude Oil (Thousand Barrels per Day),U.S. Crude Oil Proved Reserves (Million Barrels),U.S. Field Production of Crude Oil (Thousand Barrels),Crude oil including lease condensate production,"Petroleum and other liquids production, Mexico (thousand barrels per day)",Total Imports,Africa_Imports,Asia_Imports,South America_Imports,Europe_Imports,North America_Imports,Oceania_Imports,Total Exports,Asia_Exports,Europe_Exports,Africa_Exports,North America_Exports,South America_Exports,Oceania_Exports,NYMEX - Light Sweet Crude $/bbl,Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),US Offshore
2014-08-31,10196.0,1914.0,0.0,36385.0,276865.0,3547.0,2801.0,288878.0,13654.0,63009.0,54785.0,24043.0,132809.0,578.0,138174.0,17059.0,24760.0,5390.0,57558.0,28411.0,311.0,96.21,110811.0,66.0
2014-09-30,10442.0,1931.0,0.0,36385.0,272586.0,3595.0,2775.0,275435.0,16900.0,57531.0,50143.0,18170.0,132691.0,0.0,118410.0,16282.0,16408.0,4789.0,55067.0,24024.0,775.0,93.09,106522.0,62.0
2014-10-31,10398.0,1929.0,0.0,36385.0,287206.0,3727.0,2744.0,276658.0,14281.0,56569.0,50147.0,22207.0,133416.0,0.0,128154.0,20971.0,13545.0,6016.0,59987.0,24090.0,351.0,84.47,110725.0,53.0
2014-11-30,10174.0,1917.0,0.0,36385.0,279723.0,3714.0,2736.0,270260.0,14304.0,54369.0,49890.0,17082.0,134532.0,0.0,130584.0,17847.0,17960.0,6058.0,63369.0,23328.0,256.0,76.65,101778.0,54.0
2014-12-31,10354.0,1840.0,0.0,36385.0,296466.0,3780.0,2730.0,291463.0,17807.0,47505.0,48784.0,27184.0,150182.0,0.0,151650.0,23714.0,22539.0,5687.0,70073.0,26754.0,437.0,59.03,107362.0,58.0
2015-01-31,10788.0,1543.0,0.0,36385.0,290866.0,3885.0,2627.0,293297.0,9847.0,49875.0,54539.0,27379.0,151657.0,0.0,141837.0,10527.0,23319.0,3942.0,75227.0,25725.0,777.0,47.98,107681.0,49.0
2015-02-28,12018.0,1267.0,0.0,36385.0,265709.0,3906.0,2703.0,259626.0,12784.0,48120.0,45049.0,20079.0,133069.0,525.0,129922.0,21897.0,16630.0,4865.0,61525.0,23606.0,205.0,50.86,95373.0,51.0
2015-03-31,12174.0,1048.0,0.0,36385.0,297067.0,3775.0,2684.0,298196.0,10634.0,55982.0,57529.0,24946.0,149102.0,0.0,126848.0,18642.0,18392.0,4017.0,61739.0,23077.0,251.0,47.76,96915.0,34.0
2015-04-30,12276.0,932.0,0.0,36385.0,289729.0,3463.0,2537.0,281216.0,10605.0,56530.0,50320.0,25330.0,138299.0,0.0,148129.0,23497.0,28505.0,3972.0,63053.0,25866.0,281.0,54.12,108387.0,34.0
2015-05-31,12270.0,875.0,0.0,36385.0,293684.0,3212.0,2575.0,294570.0,13477.0,64591.0,55749.0,28456.0,132297.0,0.0,150436.0,22056.0,19257.0,5153.0,71221.0,30918.0,288.0,59.46,112773.0,29.0
